component_id_start,component_id_end,link
app-routing.module,signin.component,first-signin
app-routing.module,home.component,home
app-routing.module,signout.component,signout
app-routing.module,first-signin.component,first-signin
app-routing.module,purchase-order.component,purchase-order
app-routing.module,purchase-order-archive.component,purchase-order-archive
app-routing.module,sales-order.component,sales-order
app-routing.module,sales-order-archive.component,sales-order-archive
app-routing.module,inventory-planning.component,dashboard-inventory-planning
app-routing.module,inventory.component,inventory
app-routing.module,item-master.component,external-item-master
app-routing.module,external-item-master.component,external-item-master
app-routing.module,supplier-master.component,supplier-master
app-routing.module,customer-master.component,customer-master
app-routing.module,forgot-password.component,forgot-password
app-routing.module,reset-password.component,reset-password/:token
app-routing.module,profile.component,profile
app-routing.module,admin-users.component,admin-users
app-routing.module,dashboard-inventory-planning.component,dashboard-inventory-planning
app-routing.module,inventory-trend-matrix.component,inventory-trend-matrix
app-routing.module,dashboard-historical-transactions.component,dashboard-historical-transactions
app-routing.module,admin-billing.component,admin-billing
app-routing.module,scenario-analysis.component,scenario-analysis
app-routing.module,forecast.component,forecast
app-routing.module,forecast-archive.component,forecast-archive
app-routing.module,warehouse-master.component,warehouse-master
app-routing.module,unit-master.component,unit-master
app-routing.module,dashboard-world-map.component,dashboard-world-map
app-routing.module,admin-roles.component,admin-roles
app-routing.module,forbidden.component,forbidden
app-routing.module,dashboard-current-analytics.component,dashboard-current-analytics
app-routing.module,dashboard-historical-analytics.component,dashboard-historical-analytics
app-routing.module,dashboard-heatmap.component,dashboard-heatmap
app-routing.module,manufacturing-order.component,manufacturing-order
app-routing.module,manufacturing-order-archive.component,manufacturing-order-archive
app-routing.module,bill-of-materials.component,bill-of-materials
app-routing.module,dashboard-spend-analysis.component,dashboard-spend-analysis
app-routing.module,dashboard-procurement-patterns.component,dashboard-procurement-patterns
app-routing.module,dashboard-delayed-shipments.component,dashboard-delayed-shipments
app-routing.module,admin-settings.component,admin-settings
app-routing.module,transactions-flow.component,transactions-flow
app-routing.module,issue-tracker.component,issue-tracker
app-routing.module,asn.component,asn
app-routing.module,dashboard-sales-performance.component,dashboard-sales-performance
app-routing.module,dashboard-sales-at-risk.component,dashboard-sales-at-risk
modal-procurement-by-price.component,abstract-modal.component,extends
modal-procurement-by-price.component,tags-input.component,@ViewChild('tagsComponent')
modal-procurement-by-price.component,tags-input.component,html
modal-procurement-by-price.component,modal-purchase-orders.component,onClickPurchaseOrders(sample: IStackedBarSample)
modal-procurement-by-price.component,horizontal-stacked-bar-plot.component,html
modal-procurement-by-price.component,three-dots-menu.component,html
modal-procurement-by-price.component,date-range-slider.component,html
inventory-planning.component,inventory-planning-table.component,@ViewChild('table') table: InventoryPlanningTableComponent;)
inventory-planning.component,inventory-planning-table.component,html
inventory-planning.component,inventory-planning-modal-heatmap.component,onShowModalCalendar(index: number)
inventory-planning.component,modal-procurement-by-price.component,onShowModalSpendByItem(index: number)
inventory-planning.component,modal-average-demand.component,onShowModalAlgorithm(index: number)
inventory-planning.component,abstract-job.component,extends
inventory-planning.component,hypothetical-calculations-settings.component,onClickHypotheticalCalculationsSettings()
inventory-planning.component,inventory.component,html
inventory-planning.component,job-progress.component,html
inventory-planning-modal-heatmap.component,sales-order-modal-details.component,Type
inventory-planning-modal-heatmap.component,sales-order-modal-details.component,Ending Inventory Document Type
