component_id,endpoint_id,http_call,params
app-routing.module,/validate-privileges,this.http.get(/validate-privileges; options);,validatePrivileges(path: string)
modal-procurement-by-price.component,/dashboard-procurement-by-price,this.http.get<IProcurementByPriceGETResponse>(`${ /dashboard-procurement-by-price }/${ itemID }`; options);,procurementByPrice(search: ISearchArgs; itemID: number)
inventory-planning-modal-heatmap.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapGETResponse>(/dashboard-heatmap; options);,get(type: string; by: string; search: ISearchArgs; scenario?: number)
inventory-planning-modal-heatmap.component,/dashboard-heatmap,this.http.get<IDashboardHeatmapItemsGETResponse>(`${ /dashboard-heatmapItems }/${ id }`; options);,getEndingInventoryTransactions(id: number; search: ISearchArgs; date: string; type: string; scenario?: number)
inventory-planning-modal-heatmap.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-planning-modal-heatmap.component,/transactions-flow,this.http.get<ITransactionsFlowGETResponse>(/transactions-flow; options);,getTransactionsFlow(search: ISearchArgs; aggregation?: number)
inventory-planning-modal-heatmap.component,/transactions-flow,this.http.get<ITransactionsFlowDetailsGETResponse>(`${ /transactions-flow }/${ id }`; options);,getTransactionsFlowDetails(id: number; search: ISearchArgs; date: string; type: string; aggregation: number)
inventory-planning-table.component,/inventory,this.http.get<IInventoryGETResponse>(/inventory; options);,get(search: ISearchArgs)
inventory-planning-table.component,/inventory-planning,this.http.get<IInventoryPlanningGETResponse>(/inventory-planning; options);,getInventoryPlanning(search: ISearchArgs; view: IInventoryPlanningView; scenario: number)
asn.component,/asn,this.http.get<IASNListGETResponse>(/asn; options);,getList(search: ISearchArgs)
asn.component,/asn,this.http.get<IASNDetailsGETResponse>(`${ /asn }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
asn.component,/asn,this.http.delete(`${ /asn }/${ id }`; this.httpOptions);,delete(id: number)
asn-modal-new.component,/asn,this.http.get<IASNListGETResponse>(/asn; options);,getList(search: ISearchArgs)
asn-modal-new.component,/asn,this.http.get<IASNDetailsGETResponse>(`${ /asn }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
asn-modal-new.component,/asn,this.http.put(`${ /asn }/${ id }`; data; this.httpOptions);,put(id: number; data: IASNListPOSTRequest)
asn-modal-new.component,/asn,this.http.post(/asn; data; this.httpOptions);,post(data: IASNListPOSTRequest)
asn-modal-add-forecast.component,/forecast,this.http.get<IForecastDetailsGETResponse>(`${ /forecast }/${ foNumber }`; options);,getForecastDetails(foNumber: number; search?: ISearchArgs)
bill-of-materials.component,/bill-of-materials,this.http.delete(`${ /bill-of-materials }/${ id }`; this.httpOptions);,delete(id: number)
bill-of-materials.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
bill-of-materials.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
bill-of-materials-modal-new.component,/bill-of-materials,this.http.get<IBillOfMaterialsGETResponse>(/bill-of-materials; options);,get(search: ISearchArgs)
bill-of-materials-modal-new.component,/bill-of-materials,this.http.get<IBillOfMaterialsDetailsGETResponse>(`${ /bill-of-materials }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
bill-of-materials-modal-new.component,/sub-item-master,this.http.get<ISubItemMasterGETResponse>(/sub-item-master; options);,getSubItemMaster(search: ISearchArgs)
bill-of-materials-modal-new.component,/item-master,this.http.get<IItemMasterGETResponse>(/item-master; options);,getItemMaster(search: ISearchArgs)
bill-of-materials-modal-new.component,/bill-of-materials,this.http.delete(`${ /bill-of-materials }/${ id }`; this.httpOptions);,delete(id: number)
bill-of-materials-modal-new.component,/bill-of-materials,this.http.put(`${ /bill-of-materials }/${ data.id }`; data; this.httpOptions);,put(data: IBillOfMaterialsNew)
bill-of-materials-modal-new.component,/bill-of-materials,this.http.post(/bill-of-materials; data; this.httpOptions);,post(data: IBillOfMaterialsPOSTRequest)
bill-of-materials-modal-new.component,/bill-of-materials-details,this.http.delete(`${ /bill-of-materials-details }/${ id }`; this.httpOptions);,deleteDetail(id: number)
bill-of-materials-table.component,/bill-of-materials,this.http.get<IBillOfMaterialsGETResponse>(/bill-of-materials; options);,get(search: ISearchArgs)
bill-of-materials-table.component,/bill-of-materials,this.http.get<IBillOfMaterialsDetailsGETResponse>(`${ /bill-of-materials }/${ id }`; options);,getDetails(id: number; search?: ISearchArgs)
dashboard-historical-transactions.component,/dashboard-historical-transactions,this.http.get<IDashboardHistoricalTransactionsGETResponse>(/dashboard-historical-transactions; options);,getDashboardHistoricalTransactions(search: ISearchArgs)
customer-master.component,/customer-master,this.http.delete(`${ /customer-master }/${ id }`; this.httpOptions);,deleteCustomerMaster(id: number)
customer-master.component,/job,this.http.post(`${ /job }/${ job }`; postData; this.httpOptions);,post(job: string; data?: FormData)
customer-master.component,/templates,this.http.post(/templates; data; this.httpOptionsFile);,postTemplates(data: ITemplateType)
customer-master-modal-new.component,/customer-master,this.http.get<ICustomerMasterGETResponse>(/customer-master; options);,getCustomerMaster(search: ISearchArgs)
customer-master-modal-new.component,/customer-master,this.http.get<IShipToMasterGETResponse>(`${ /customer-master }/${ id }`; options);,getCustomerMasterDetails(id: number; search?: ISearchArgs)
customer-master-modal-new.component,/customer-master,this.http.put(/customer-master + '/' + data.id.toString(); data; this.httpOptions);,putCustomerMaster(data: ICustomerMasterSave)
